iter	MultiClass
0	1.379627909
1	1.373022758
2	1.367097639
3	1.361100689
4	1.355567187
5	1.349695386
6	1.344906113
7	1.339766276
8	1.334502867
9	1.329707445
10	1.325398576
11	1.320627214
12	1.315759818
13	1.311436544
14	1.307972817
15	1.304298005
16	1.300299384
17	1.297163113
18	1.293742377
19	1.289787025
20	1.287949838
21	1.284652934
22	1.281645151
23	1.278647675
24	1.275736338
25	1.273174561
26	1.270232466
27	1.267590912
28	1.264921814
29	1.262073159
30	1.25973144
31	1.257341095
32	1.254734185
33	1.252390472
34	1.25024598
35	1.248288612
36	1.246223426
37	1.244324999
38	1.242364658
39	1.240202361
40	1.238106388
41	1.236236147
42	1.234556582
43	1.23306621
44	1.230877713
45	1.229521177
46	1.228086007
47	1.226785519
48	1.224931536
49	1.223673593
50	1.222171895
51	1.220419347
52	1.218600779
53	1.21738702
54	1.215951765
55	1.214490589
56	1.213156147
57	1.21161944
58	1.210131679
59	1.208523128
60	1.207075439
61	1.20569238
62	1.204484367
63	1.203113754
64	1.201714364
65	1.200232636
66	1.198606456
67	1.197478342
68	1.196013698
69	1.194744077
70	1.193240086
71	1.192196326
72	1.190983667
73	1.189726824
74	1.188731336
75	1.18800086
76	1.186791086
77	1.185574345
78	1.18430292
79	1.183299952
80	1.181862261
81	1.180346027
82	1.179370032
83	1.178758477
84	1.177595552
85	1.176488989
86	1.175586259
87	1.174820553
88	1.173747169
89	1.172641061
90	1.171734978
91	1.170637074
92	1.169452663
93	1.16839698
94	1.167284842
95	1.166093016
96	1.165194133
97	1.164171227
98	1.163460142
99	1.162547127
100	1.161389137
101	1.160625423
102	1.160020785
103	1.159080835
104	1.158352563
105	1.157437335
106	1.156691559
107	1.155611037
108	1.154599488
109	1.154033356
110	1.153515785
111	1.152628986
112	1.151511954
113	1.150807779
114	1.149970145
115	1.149357994
116	1.148556872
117	1.147569123
118	1.146659035
119	1.145790039
120	1.144812299
121	1.144147907
122	1.143146319
123	1.142254846
124	1.141319512
125	1.140787812
126	1.140104751
127	1.139258099
128	1.138645072
129	1.137747412
130	1.137185853
131	1.136481607
132	1.135785984
133	1.135036317
134	1.134003285
135	1.133676627
136	1.132843887
137	1.132213949
138	1.131934942
139	1.131043947
140	1.129815322
141	1.128897105
142	1.128109666
143	1.127210624
144	1.126447772
145	1.125807816
146	1.125137017
147	1.124229473
148	1.123391878
149	1.122607473
150	1.121900033
151	1.121269063
152	1.120712412
153	1.120039052
154	1.119228059
155	1.118388308
156	1.117589585
157	1.117029443
158	1.116249234
159	1.115606495
160	1.115010726
161	1.11404932
162	1.113261244
163	1.112753483
164	1.112300958
165	1.111315722
166	1.11064604
167	1.109913217
168	1.109173894
169	1.108687369
170	1.108060496
171	1.107494335
172	1.106890441
173	1.106146263
174	1.105471139
175	1.105176189
176	1.104597765
177	1.104025958
178	1.103407425
179	1.102694972
180	1.102150043
181	1.101164148
182	1.100609751
183	1.099663014
184	1.099146729
185	1.098224266
186	1.097483788
187	1.096407553
188	1.095740534
189	1.095377952
190	1.09484625
191	1.094423277
192	1.09404772
193	1.093475547
194	1.092666594
195	1.091750954
196	1.090919068
197	1.090229212
198	1.089543296
199	1.089192402
200	1.088130686
201	1.087386248
202	1.086677755
203	1.085639212
204	1.084643909
205	1.08430562
206	1.083740099
207	1.083273452
208	1.082903974
209	1.082591817
210	1.081855177
211	1.08138643
212	1.08096229
213	1.080236304
214	1.079717833
215	1.079186665
216	1.078636031
217	1.078002516
218	1.077326586
219	1.076378054
220	1.075728838
221	1.07525038
222	1.074406158
223	1.073413637
224	1.072750608
225	1.072230022
226	1.071573573
227	1.070773744
228	1.070385608
229	1.07006878
230	1.069626141
231	1.068842795
232	1.067977633
233	1.067736497
234	1.067109621
235	1.066713841
236	1.065829382
237	1.06525255
238	1.064587706
239	1.063841492
240	1.063341454
241	1.06262649
242	1.062097555
243	1.061408957
244	1.061029572
245	1.059990713
246	1.059275891
247	1.05850701
248	1.05755899
249	1.057066495
250	1.056626361
251	1.056232856
252	1.055912848
253	1.055344383
254	1.054808139
255	1.054325731
256	1.054021287
257	1.05336888
258	1.052834267
259	1.052131481
260	1.051664059
261	1.051056473
262	1.050230761
263	1.04976443
264	1.049315274
265	1.048712857
266	1.048135155
267	1.047642419
268	1.047284653
269	1.046622512
270	1.045837755
271	1.045254322
272	1.044732348
273	1.043927075
274	1.043546262
275	1.043115434
276	1.0422195
277	1.041758731
278	1.041286522
279	1.040800042
280	1.040324732
281	1.039838374
282	1.039258554
283	1.038457158
284	1.037854473
285	1.0371885
286	1.036514741
287	1.036000661
288	1.03543423
289	1.034837671
290	1.034200471
291	1.03387621
292	1.033076842
293	1.032581742
294	1.032127893
295	1.031566991
296	1.030752383
297	1.030036511
298	1.029537266
299	1.029359811
300	1.028702861
301	1.028256333
302	1.027510116
303	1.027105175
304	1.026652891
305	1.025998328
306	1.025092423
307	1.024507463
308	1.023735298
309	1.022851207
310	1.022539842
311	1.021785859
312	1.021194284
313	1.020421388
314	1.020183805
315	1.019795575
316	1.019370563
317	1.018842039
318	1.01803699
319	1.017598309
320	1.01682252
321	1.016524692
322	1.015892135
323	1.015203177
324	1.014805261
325	1.014347894
326	1.013983405
327	1.013555752
328	1.013126002
329	1.012664357
330	1.011741244
331	1.011164703
332	1.01056289
333	1.010150146
334	1.009477163
335	1.008926167
336	1.008674427
337	1.008455869
338	1.007976798
339	1.0075935
340	1.007164468
341	1.006644035
342	1.005797926
343	1.005127508
344	1.004738375
345	1.004145342
346	1.003376671
347	1.002943891
348	1.002414375
349	1.001624615
350	1.00104626
351	1.000515111
352	0.9997426419
353	0.9988403492
354	0.9981617723
355	0.9975775945
356	0.9971393791
357	0.9965327819
358	0.9960122063
359	0.9954847369
360	0.9947520915
361	0.9939150624
362	0.9935618015
363	0.9928758795
364	0.9922248994
365	0.991640115
366	0.9912922338
367	0.9908022623
368	0.990363871
369	0.9897934498
370	0.98924344
371	0.9887410911
372	0.988380994
373	0.9879217419
374	0.9872486079
375	0.986588776
376	0.9861884945
377	0.9859397759
378	0.9855424303
379	0.9848132141
380	0.9839892257
381	0.9836331639
382	0.9831468482
383	0.9827789564
384	0.9821026463
385	0.9814978756
386	0.9812401742
387	0.9806720939
388	0.9800476143
389	0.9794744674
390	0.9791503631
391	0.978375916
392	0.9779741596
393	0.9774509509
394	0.9769571147
395	0.9765282179
396	0.9760739458
397	0.9755674713
398	0.9749807899
399	0.9743903368
400	0.9738261749
401	0.9734194093
402	0.9727780069
403	0.9723127126
404	0.9718565497
405	0.9714395893
406	0.9711186483
407	0.9705655738
408	0.9699964197
409	0.9693855261
410	0.9690222572
411	0.9684430609
412	0.9679784097
413	0.9677121784
414	0.9673407276
415	0.9670382613
416	0.9665890691
417	0.9662294434
418	0.9656758168
419	0.9652775833
420	0.9646339794
421	0.9642620736
422	0.9637806307
423	0.9632228515
424	0.9626567152
425	0.9621976822
426	0.9616134798
427	0.960729929
428	0.9603803652
429	0.9597872027
430	0.9592967756
431	0.9587708202
432	0.9582931628
433	0.9579186284
434	0.9575314095
435	0.9570739609
436	0.9566817785
437	0.9562809958
438	0.9559057101
439	0.9554121834
440	0.9549542874
441	0.9545069781
442	0.9540220626
