iter	Passed	Remaining
0	29	29741
1	53	26500
2	78	25958
3	101	25170
4	123	24496
5	142	23612
6	165	23472
7	190	23588
8	212	23448
9	235	23270
10	257	23190
11	281	23140
12	302	22989
13	327	23060
14	352	23178
15	370	22814
16	387	22380
17	406	22152
18	423	21867
19	443	21722
20	452	21092
21	469	20890
22	485	20611
23	500	20340
24	514	20081
25	528	19798
26	541	19501
27	555	19267
28	568	19021
29	581	18813
30	594	18572
31	608	18403
32	623	18256
33	636	18097
34	651	17958
35	665	17823
36	679	17690
37	693	17563
38	708	17448
39	722	17331
40	736	17236
41	752	17174
42	766	17049
43	780	16952
44	792	16820
45	805	16696
46	819	16615
47	833	16525
48	847	16449
49	860	16355
50	874	16273
51	888	16205
52	903	16142
53	916	16061
54	931	15996
55	946	15949
56	964	15964
57	987	16042
58	1010	16108
59	1031	16163
60	1052	16198
61	1069	16187
62	1086	16160
63	1104	16157
64	1122	16144
65	1138	16105
66	1152	16048
67	1166	15994
68	1180	15922
69	1195	15876
70	1212	15864
71	1230	15863
72	1248	15848
73	1266	15848
74	1284	15843
75	1302	15840
76	1321	15835
77	1339	15835
78	1359	15850
79	1379	15861
80	1401	15903
81	1423	15941
82	1447	15991
83	1467	16006
84	1487	16017
85	1502	15967
86	1516	15911
87	1528	15838
88	1541	15780
89	1555	15731
90	1569	15679
91	1583	15629
92	1596	15571
93	1608	15501
94	1618	15420
95	1630	15353
96	1640	15275
97	1651	15203
98	1664	15144
99	1676	15086
100	1689	15034
101	1702	14986
102	1716	14948
103	1730	14908
104	1745	14877
105	1758	14834
106	1771	14788
107	1785	14747
108	1799	14712
109	1813	14672
110	1826	14630
111	1840	14594
112	1853	14551
113	1867	14514
114	1881	14481
115	1896	14454
116	1910	14416
117	1925	14389
118	1939	14362
119	1954	14333
120	1968	14302
121	1982	14266
122	1996	14233
123	2010	14202
124	2024	14173
125	2038	14136
126	2050	14094
127	2064	14065
128	2078	14036
129	2092	14006
130	2107	13977
131	2121	13947
132	2134	13911
133	2147	13881
134	2161	13852
135	2175	13823
136	2189	13794
137	2203	13763
138	2217	13732
139	2231	13709
140	2245	13678
141	2258	13648
142	2272	13619
143	2287	13595
144	2300	13564
145	2313	13535
146	2328	13510
147	2342	13483
148	2356	13456
149	2369	13429
150	2383	13402
151	2396	13371
152	2410	13345
153	2424	13316
154	2438	13294
155	2452	13267
156	2465	13237
157	2479	13211
158	2492	13185
159	2506	13161
160	2520	13135
161	2534	13108
162	2547	13082
163	2561	13058
164	2574	13030
165	2589	13009
166	2602	12981
167	2616	12957
168	2630	12935
169	2644	12912
170	2658	12889
171	2671	12862
172	2685	12835
173	2700	12818
174	2715	12801
175	2728	12776
176	2742	12751
177	2756	12731
178	2772	12716
179	2786	12694
180	2801	12678
181	2817	12661
182	2830	12637
183	2844	12615
184	2858	12591
185	2871	12565
186	2885	12546
187	2901	12531
188	2917	12517
189	2930	12491
190	2944	12473
191	2958	12449
192	2972	12427
193	2983	12396
194	2996	12371
195	3008	12340
196	3020	12311
197	3031	12278
198	3043	12249
199	3056	12225
200	3070	12204
201	3083	12181
202	3096	12155
203	3109	12134
204	3123	12114
205	3136	12090
206	3151	12072
207	3164	12050
208	3179	12034
209	3195	12021
210	3211	12009
211	3230	12009
212	3248	12003
213	3267	12001
214	3287	12001
215	3301	11984
216	3319	11976
217	3333	11956
218	3346	11935
219	3362	11920
220	3375	11896
221	3389	11877
222	3403	11858
223	3418	11842
224	3431	11820
225	3446	11803
226	3460	11784
227	3474	11765
228	3487	11742
229	3500	11720
230	3512	11694
231	3531	11689
232	3549	11683
233	3570	11688
234	3594	11701
235	3616	11708
236	3641	11723
237	3663	11728
238	3685	11734
239	3705	11733
240	3725	11733
241	3742	11723
242	3757	11704
243	3769	11679
244	3781	11654
245	3795	11633
246	3809	11613
247	3825	11600
248	3839	11580
249	3852	11558
250	3865	11535
251	3880	11517
252	3893	11495
253	3908	11480
254	3924	11466
255	3939	11449
256	3955	11434
257	3971	11422
258	3984	11399
259	3996	11375
260	4009	11351
261	4021	11328
262	4035	11308
263	4047	11284
264	4061	11265
265	4075	11246
266	4087	11222
267	4100	11199
268	4111	11174
269	4126	11156
270	4140	11138
271	4155	11121
272	4171	11108
273	4188	11097
274	4203	11081
275	4220	11071
276	4238	11064
277	4256	11054
278	4273	11043
279	4290	11033
280	4311	11031
281	4331	11029
282	4350	11022
283	4368	11013
284	4385	11001
285	4406	11000
286	4428	11001
287	4449	11001
288	4469	10995
289	4485	10981
290	4504	10975
291	4526	10974
292	4545	10969
293	4566	10966
294	4584	10956
295	4603	10947
296	4623	10944
297	4642	10936
298	4660	10926
299	4678	10915
300	4693	10899
301	4706	10877
302	4721	10861
303	4738	10848
304	4754	10833
305	4775	10829
306	4792	10818
307	4809	10805
308	4825	10790
309	4838	10769
310	4855	10757
311	4876	10752
312	4901	10757
313	4928	10767
314	4952	10770
315	4979	10778
316	5003	10780
317	5023	10773
318	5043	10765
319	5060	10753
320	5075	10736
321	5088	10713
322	5101	10693
323	5116	10674
324	5131	10656
325	5144	10636
326	5158	10617
327	5170	10594
328	5182	10570
329	5193	10545
330	5206	10523
331	5219	10502
332	5233	10483
333	5247	10463
334	5259	10440
335	5272	10419
336	5284	10397
337	5298	10376
338	5312	10358
339	5326	10339
340	5340	10320
341	5356	10305
342	5374	10294
343	5389	10277
344	5406	10265
345	5420	10246
346	5435	10229
347	5452	10215
348	5469	10201
349	5487	10191
350	5510	10189
351	5533	10186
352	5555	10181
353	5576	10176
354	5598	10171
355	5618	10164
356	5632	10144
357	5646	10125
358	5663	10111
359	5678	10095
360	5694	10079
361	5708	10061
362	5722	10041
363	5738	10027
364	5754	10010
365	5769	9993
366	5783	9975
367	5797	9956
368	5811	9938
369	5825	9918
370	5837	9897
371	5850	9876
372	5864	9857
373	5877	9838
374	5893	9822
375	5907	9804
